time,parent,analyte,matrix,conc,replicate,microMexp
90,Fipronil,Fipronil,microsomes,89.70085579,3,100
0,Fipronil,Fipronil,microsomes,58.45901219,1,125
0,Fipronil,Fipronil,microsomes,51.85481179,2,125
0,Fipronil,Fipronil,microsomes,53.89065136,3,125
15,Fipronil,Fipronil,microsomes,62.24891641,1,125
15,Fipronil,Fipronil,microsomes,54.68420677,2,125
15,Fipronil,Fipronil,microsomes,91.10795719,3,125
30,Fipronil,Fipronil,microsomes,51.66702524,1,125
30,Fipronil,Fipronil,microsomes,65.6950903,2,125
30,Fipronil,Fipronil,microsomes,112.1237445,3,125
60,Fipronil,Fipronil,microsomes,62.81350539,1,125
60,Fipronil,Fipronil,microsomes,74.14828799,2,125
60,Fipronil,Fipronil,microsomes,93.87631612,3,125
90,Fipronil,Fipronil,microsomes,59.80299767,1,125
90,Fipronil,Fipronil,microsomes,82.33654045,2,125
90,Fipronil,Fipronil,microsomes,89.20514072,3,125
0,Fipronil,Fipronil,microsomes,80.1226913,1,150
0,Fipronil,Fipronil,microsomes,96.90138648,2,150
0,Fipronil,Fipronil,microsomes,94.88883577,3,150
15,Fipronil,Fipronil,microsomes,37.15191594,1,150
15,Fipronil,Fipronil,microsomes,76.95257401,2,150
15,Fipronil,Fipronil,microsomes,82.83018255,3,150
30,Fipronil,Fipronil,microsomes,89.28298886,1,150
30,Fipronil,Fipronil,microsomes,103.9076465,2,150
30,Fipronil,Fipronil,microsomes,88.89209516,3,150
60,Fipronil,Fipronil,microsomes,75.20034761,1,150
60,Fipronil,Fipronil,microsomes,99.21349783,2,150
60,Fipronil,Fipronil,microsomes,86.10641447,3,150
90,Fipronil,Fipronil,microsomes,85.35534061,1,150
90,Fipronil,Fipronil,microsomes,86.89358929,2,150
90,Fipronil,Fipronil,microsomes,19.45762438,3,150
0,Fipronil,Fipronil,microsomes,161.3373216,1,200
0,Fipronil,Fipronil,microsomes,140.3753919,2,200
0,Fipronil,Fipronil,microsomes,143.641415,3,200
15,Fipronil,Fipronil,microsomes,143.5820327,1,200
15,Fipronil,Fipronil,microsomes,117.0381728,2,200
15,Fipronil,Fipronil,microsomes,105.3992543,3,200
30,Fipronil,Fipronil,microsomes,120.601107,1,200
30,Fipronil,Fipronil,microsomes,115.1379412,2,200
30,Fipronil,Fipronil,microsomes,126.1830373,3,200
60,Fipronil,Fipronil,microsomes,91.91948648,1,200
60,Fipronil,Fipronil,microsomes,106.6462813,2,200
60,Fipronil,Fipronil,microsomes,72.50149496,3,200
90,Fipronil,Fipronil,microsomes,112.4063583,1,200
90,Fipronil,Fipronil,microsomes,105.3992543,2,200
90,Fipronil,Fipronil,microsomes,111.7531537,3,200
0,Fipronil,Fipronil,microsomes,94.37993663,1,250
0,Fipronil,Fipronil,microsomes,113.4786371,2,250
0,Fipronil,Fipronil,microsomes,91.29136792,3,250
15,Fipronil,Fipronil,microsomes,105.2844752,1,250
15,Fipronil,Fipronil,microsomes,83.9166222,2,250
15,Fipronil,Fipronil,microsomes,57.25407999,3,250
30,Fipronil,Fipronil,microsomes,71.31021926,1,250
30,Fipronil,Fipronil,microsomes,93.93871253,2,250
30,Fipronil,Fipronil,microsomes,36.95777127,3,250
60,Fipronil,Fipronil,microsomes,77.4873567,1,250
60,Fipronil,Fipronil,microsomes,101.3134582,2,250
60,Fipronil,Fipronil,microsomes,91.54349597,3,250
90,Fipronil,Fipronil,microsomes,58.38865626,1,250
90,Fipronil,Fipronil,microsomes,74.14665992,2,250
90,Fipronil,Fipronil,microsomes,61.1620649,3,250
0,Fipronil,Fip Sulfone,microsomes,1.034753921,1,10
0,Fipronil,Fip Sulfone,microsomes,0.612239983,2,10
0,Fipronil,Fip Sulfone,microsomes,0.491206676,3,10
15,Fipronil,Fip Sulfone,microsomes,0.253317628,1,10
15,Fipronil,Fip Sulfone,microsomes,0.304604645,3,10
30,Fipronil,Fip Sulfone,microsomes,0.753233413,1,10
30,Fipronil,Fip Sulfone,microsomes,0.430810702,2,10
30,Fipronil,Fip Sulfone,microsomes,0.388027952,3,10
60,Fipronil,Fip Sulfone,microsomes,0.893906043,1,10
60,Fipronil,Fip Sulfone,microsomes,0.912279045,2,10
60,Fipronil,Fip Sulfone,microsomes,0.746948366,3,10
90,Fipronil,Fip Sulfone,microsomes,1.679672886,1,10
90,Fipronil,Fip Sulfone,microsomes,1.465935823,2,10
90,Fipronil,Fip Sulfone,microsomes,1.164455827,3,10
0,Fipronil,Fip Sulfone,microsomes,0,1,2.89
0,Fipronil,Fip Sulfone,microsomes,0,2,2.89
0,Fipronil,Fip Sulfone,microsomes,0,3,2.89
15,Fipronil,Fip Sulfone,microsomes,0,1,2.89
15,Fipronil,Fip Sulfone,microsomes,0,2,2.89
15,Fipronil,Fip Sulfone,microsomes,0,3,2.89
30,Fipronil,Fip Sulfone,microsomes,0.001551533,1,2.89
30,Fipronil,Fip Sulfone,microsomes,0.002942426,2,2.89
30,Fipronil,Fip Sulfone,microsomes,0.054608448,3,2.89
60,Fipronil,Fip Sulfone,microsomes,0.285064434,1,2.89
60,Fipronil,Fip Sulfone,microsomes,0.23700421,2,2.89
90,Fipronil,Fip Sulfone,microsomes,0.381958677,1,2.89
90,Fipronil,Fip Sulfone,microsomes,0.616806706,2,2.89
90,Fipronil,Fip Sulfone,microsomes,0.534712544,3,2.89
0,Fipronil,Fip Sulfone,microsomes,0.811460258,1,50
0,Fipronil,Fip Sulfone,microsomes,1.086074757,2,50
